序号,案件类型,证据1,证据2,证据3
1,个人信息泄露,内部人员泄密,权限滥用证据,利益输送记录
2,个人信息泄露,暗网交易平台,比特币支付,匿名通讯工具
3,个人信息泄露,黑客攻击日志,服务器入侵痕迹,数据下载记录
4,个人信息泄露,公民信息数据库,信息出售渠道,交易价格记录
5,个人信息泄露,数据库被黑客攻破,多台电脑存储公民信息,多张假身份信息出售
6,个人信息泄露,批量注册账户,虚假身份使用,验证码接收
7,个人信息泄露,公民信息数据库,信息出售渠道,交易价格记录
8,个人信息泄露,数据库被黑客攻破,多台电脑存储公民信息,多张假身份信息出售
9,个人信息泄露,黑客攻击日志,服务器入侵痕迹,数据下载记录
10,个人信息泄露,数据库被黑客攻破,多台电脑存储公民信息,多张假身份信息出售
11,人体器官贩卖,HLA 配型报告,暴力胁迫,器官掮客
12,人体器官贩卖,器官黑市,术后遗弃,胁迫供体
13,人体器官贩卖,器官受体,供体诱骗,隐蔽诊所
14,人体器官贩卖,拐骗未成年人,麻醉剂,非法移植
15,人体器官贩卖,活体肝脏,伪造病历,器官定价
16,人体器官贩卖,黑中介公司,手术器械,现金结算
17,人体器官贩卖,角膜交易,跨境转运,强制摘取
18,人体器官贩卖,非法配型,虚假亲属证明,器官中介
19,人体器官贩卖,活体肾脏,地下手术室,有偿招募
20,人体器官贩卖,尸体器官,医疗废弃物,销毁手术记录
21,仇恨言论,运营仇恨言论群组,党卫军 “SS” 标识,煽动地域仇恨冲突
22,仇恨言论,AI 生成仇恨性虚假视频,煽动移民排斥,传播 “Rahowa” 种族圣战口号
23,仇恨言论,批量传播种族歧视言论,“WP” 白人至上缩写,策划群体互撕谩骂
24,仇恨言论,公开他人隐私 “挂人”,1488 仇恨数字代码,挑动阶层对立冲突
25,仇恨言论,制作仇恨性表情包,煽动性别对立,传播 “ZOG” 反犹口号
26,仇恨言论,组织代骂特定群体,白人至上主义标识,散布地域歧视言论
27,仇恨言论,煽动种族仇恨,凯尔特十字旗帜,散布反犹侮辱性词汇
28,仇恨言论,恶意剪辑抹黑特定群体,仇恨性手势符号,散布 “Total Kike Death” 极端言论
29,仇恨言论,编造群体污名化烂梗,三 K 党关联符号,煽动暴力敌视行为
30,仇恨言论,付费征集歧视性视频,纳粹卐字符号,煽动宗教敌视
31,传销,组织者身份,幕后操控证据,法律责任认定
32,传销,受害者证词,损失金额统计,维权困难证据
33,传销,封闭房间洗脑,话术模板培训,拉人头发展下线
34,传销,培训材料收集,洗脑话术分析,宣传推广证据
35,传销,层级结构图,会员注册记录,奖金分配制度
36,传销,资金流向分析,账户冻结记录,受害者损失统计
37,传销,洗脑培训材料,课程视频记录,讲师身份调查
38,传销,入门费用收取,资金流向追踪,分配制度分析
39,传销,组织者身份确认,幕后操控证据,法律责任认定
40,传销,三级以上人员层级,入门费资金流转,洗脑话术培训材料
41,组织卖淫,网络招嫖证据,社交平台记录,电子支付流水
42,组织卖淫,保护伞证据,利益输送记录,执法人员勾结
43,组织卖淫,客户信息收集,消费记录查询,支付方式调查
44,组织卖淫,从业人员身份,招募培训记录,收入分配制度
45,组织卖淫,卖淫场所勘查,房间布置证据,服务项目记录
46,组织卖淫,特殊服务费酒水单,排班表管理,门禁卡控制场所
47,组织卖淫,从业人员身份,招募培训记录,收入分配制度
48,组织卖淫,卖淫场所勘查,房间布置证据,服务项目记录
49,组织卖淫,客户信息收集,消费记录查询,支付方式调查
50,组织卖淫,卖淫场所勘查,房间布置证据,服务项目记录
51,网络攻击,DDoS攻击服务器,数据窃取攻击,网站渗透获取信息
52,网络攻击,数据泄露事件,敏感信息窃取,暗网出售记录
53,网络攻击,SQL注入攻击,数据库权限获取,数据导出记录
54,网络攻击,网页挂马攻击,恶意代码传播,用户感染记录
55,网络攻击,DNS劫持攻击,域名解析篡改,流量重定向
56,网络攻击,拒绝服务攻击,服务器瘫痪证据,攻击源追踪
57,网络攻击,网页挂马攻击,恶意代码传播,用户感染记录
58,网络攻击,DNS劫持攻击,域名解析篡改,流量重定向
59,网络攻击,SQL注入攻击,数据库权限获取,数据导出记录
60,网络攻击,DNS劫持攻击,域名解析篡改,流量重定向
61,聚众斗殴,起因调查分析,矛盾冲突记录,社会影响评估
62,聚众斗殴,目击者证词,监控录像分析,作案过程还原
63,聚众斗殴,作案工具扣押,伤害程度鉴定,损失金额统计
64,聚众斗殴,斗殴凶器U型锁,微信邀约记录,现场监控视频
65,聚众斗殴,参与人员身份,组织策划调查,首要分子认定
66,聚众斗殴,法律责任认定,处罚决定执行,教育改造记录
67,聚众斗殴,斗殴凶器U型锁,微信邀约记录,现场监控视频
68,聚众斗殴,参与人员身份,组织策划调查,首要分子认定
69,聚众斗殴,作案工具扣押,伤害程度鉴定,损失金额统计
70,聚众斗殴,参与人员身份,组织策划调查,首要分子认定
71,袭警,执法记录仪视频,警械破损物证,民警伤情鉴定
72,袭警,执法记录视频,暴力行为证据,伤害程度鉴定
73,袭警,法律责任认定,处罚决定执行,教育改造记录
74,袭警,前科记录查询,行为模式分析,社会影响评估
75,袭警,目击者证词,周围环境分析,作案动机调查
76,袭警,警械损坏物证,现场勘查记录,武器工具扣押
77,袭警,前科记录查询,行为模式分析,社会影响评估
78,袭警,目击者证词,周围环境分析,作案动机调查
79,袭警,法律责任认定,处罚决定执行,教育改造记录
80,袭警,目击者证词,周围环境分析,作案动机调查
81,谋杀,毒物检测报告,投毒工具提取,药物购买记录
82,谋杀,犯罪现场重建,微量物证分析,目击证人证词
83,谋杀,尸体解剖报告,死亡时间推断,作案手法分析
84,谋杀,凶器指纹鉴定,作案动机调查,不在场证明
85,谋杀,狙击枪子弹弹道匹配,望远镜观测目标地点,攀爬梯子进入作案现场
86,谋杀,雇凶杀人证据,中间人证词,资金交易记录
87,谋杀,凶器指纹鉴定,作案动机调查,不在场证明
88,谋杀,狙击枪子弹弹道匹配,望远镜观测目标地点,攀爬梯子进入作案现场
89,谋杀,尸体解剖报告,死亡时间推断,作案手法分析
90,谋杀,狙击枪子弹弹道匹配,望远镜观测目标地点,攀爬梯子进入作案现场
91,逃税,法律责任认定,处罚决定执行,整改措施落实
92,逃税,主观故意证据,明知故犯记录,从轻从重情节
93,逃税,纳税申报记录,应缴税款计算,逃税金额确认
94,逃税,税务稽查证据,处理决定执行,滞纳金计算
95,逃税,账簿凭证伪造,真实交易记录,差异分析报告
96,逃税,虚假纳税申报表,账外收入流水,阴阳合同证明
97,逃税,税务稽查证据,处理决定执行,滞纳金计算
98,逃税,账簿凭证伪造,真实交易记录,差异分析报告
99,逃税,纳税申报记录,应缴税款计算,逃税金额确认
100,逃税,账簿凭证伪造,真实交易记录,差异分析报告
101,逃避法律制裁,建立攻守同盟,销毁通讯记录,冒用他人身份
102,逃避法律制裁,伪造病历装病,串改口供,丢弃涉案物品
103,逃避法律制裁,隐匿作案地点,篡改监控录像,资金跨境转移
104,逃避法律制裁,指使他人顶罪,藏匿凶器,跨区域逃窜
105,逃避法律制裁,伪造不在场证明,销毁作案工具,收买证人
106,逃避法律制裁,贿赂执法人员,转移物证,拒不认罪
107,逃避法律制裁,干扰证人,非法洗钱,更换身份
108,逃避法律制裁,销毁账本,潜逃境外,虚假自首
109,逃避法律制裁,伪造证据,串供,隐匿赃款
110,逃避法律制裁,伪造出入境证件,窝藏同伙,毁灭电子数据
111,野生动物走私,狩猎工具扣押,猎捕现场勘查,动物保护法违反
112,野生动物走私,象牙制品加工,虎皮标本制作,猎枪猎杀野生动物
113,野生动物走私,活体动物运输,非法饲养场所,交易价格记录
114,野生动物走私,野生动物制品,加工制作工具,销售渠道调查
115,野生动物走私,跨境运输路线,海关走私记录,边境监控录像
116,野生动物走私,黑市交易网络,中间人证词,资金转账记录
117,野生动物走私,野生动物制品,加工制作工具,销售渠道调查
118,野生动物走私,跨境运输路线,海关走私记录,边境监控录像
119,野生动物走私,活体动物运输,非法饲养场所,交易价格记录
120,野生动物走私,跨境运输路线,海关走私记录,边境监控录像
121,间谍,机密文件U盘,Signal加密聊天,境外账户资金往来
122,间谍,间谍工具扣押,通讯设备分析,密码破解记录
123,间谍,秘密接头证据,会面地点监控,交易物品确认
124,间谍,情报传递渠道,加密通讯记录,接收方身份
125,间谍,任务执行情况,情报价值评估,危害程度分析
126,间谍,招募发展证据,培训记录调查,忠诚度测试
127,间谍,情报传递渠道,加密通讯记录,接收方身份
128,间谍,任务执行情况,情报价值评估,危害程度分析
129,间谍,秘密接头证据,会面地点监控,交易物品确认
130,间谍,任务执行情况,情报价值评估,危害程度分析
131,非法定位与追踪,针孔偷拍设备,伪装成日用品,同步定位监控
132,非法定位与追踪,云端存储定位,售卖定位账号,包月查看实时位置
133,非法定位与追踪,破解账号权限,利用基站定位,非法跟踪他人
134,非法定位与追踪,贴手（实操人员）,夜间安装定位器,采集 170 余条轨迹
135,非法定位与追踪,来源不明数据线,植入恶意程序,后台持续定位
136,非法定位与追踪,定位监听器,秘密安装卧室,录制位置关联音频
137,非法定位与追踪,爬虫软件,入侵停车平台,非法获取定位数据
138,非法定位与追踪,私家侦探团伙,贴 G（安装定位器）,倒卖车辆轨迹
139,非法定位与追踪,网购 GPS 定位器,非法安装车辆底盘,窃取行踪轨迹
140,非法定位与追踪,蓝牙 TAG 定位器,隐匿植入背包,远程共享位置
141,非法拘禁,暴力手段证据,伤害程度鉴定,医疗记录收集
142,非法拘禁,受害者证词,时间地点确认,参与人员身份
143,非法拘禁,绳索捆绑工具,现场监控录像,伤情鉴定报告
144,非法拘禁,解救过程记录,执法行动证据,司法处理结果
145,非法拘禁,作案工具扣押,通讯设备分析,策划过程调查
146,非法拘禁,拘禁场所勘查,限制自由证据,逃脱痕迹调查
